ID,HRD,EMT-index,Cluster
T_BRCA1_1,16,9.575329218,A
T_BRCA1_2,18,5.234570097,A
T_BRCA1_3,18,6.245036493,A
T_BRCA1_4,17,7.247174147,A
T_BRCA1_5,19,6.811054619,A
T_BRCA2_1,21,10.60807752,A
T_BRCA2_2,22,9.532600811,A
T_BRCA2_3,0,12.07768187,B
T_BRCA2_4,20,9.976325787,A
T_BRCA2_5,15,4.96275557,A
T_WT_1,14,14.11239221,B
T_WT_2,24,6.764364324,A
T_WT_3,8,7.575272635,A
T_WT_4,4,15.04237398,B
T_WT_5,14,6.239080327,A
T_WT_6,1,15.10463251,B
T_WT_7,3,19.27074141,B
T_WT_8,11,10.84244866,A
T_WT_9,15,10.19418907,A
T_WT_10,21,6.180551101,A
