ID	EMT-index	Cellularity	Ploidy	Cluster
T_BRCA1_1	9.575329218	0.44	3.696780393	A
T_BRCA1_2	5.234570097	0.77	2.679240292	A
T_BRCA1_3	6.245036493	0.5	3.728253285	A
T_BRCA1_4	7.247174147	0.73	3.306872656	A
T_BRCA1_5	6.811054619	0.77	5.886061105	A
T_BRCA2_1	10.60807752	0.58	2.349506398	A
T_BRCA2_2	9.532600811	0.48	3.511182959	A
T_BRCA2_3	12.07768187	0.1	2.009836082	B
T_BRCA2_4	9.976325787	0.51	3.121944204	A
T_BRCA2_5	4.96275557	0.75	1.912510797	A
T_WT_1	14.11239221	0.43	1.948564565	B
T_WT_2	6.764364324	0.88	3.34989015	A
T_WT_3	7.575272635	0.95	1.863839804	A
T_WT_4	15.04237398	0.1	2.109956356	B
T_WT_5	6.239080327	0.8	3.517767604	A
T_WT_6	15.10463251	0.31	2.000582563	B
T_WT_7	19.27074141	0.1	2.060088594	B
T_WT_8	10.84244866	0.43	3.419579855	A
T_WT_9	10.19418907	0.72	3.902701905	A
T_WT_10	6.180551101	0.86	1.794178195	A
