	Immune	Stromal	MSC	Fibroblasts	Epithelialcells	Cluster
T_BRCA1_1	0.0099	0.0039	0.007	0	0.1635	A
T_BRCA1_2	0.0349	0.0042	0.0008	0.0047	0.1413	A
T_BRCA1_3	0.0673	0.0012	0.069	0	0.273	A
T_BRCA1_4	0.0459	0.0014	0.0168	0	0.2521	A
T_BRCA1_5	0.0642	0	0	0	0.1818	A
T_BRCA2_1	0.0496	0.0012	0.1002	0	0.1985	A
T_BRCA2_2	0.0124	0	0.0392	0	0.3052	A
T_BRCA2_4	0.0221	0.0072	0.0376	0.0042	0.2218	A
T_BRCA2_5	0.0098	0	0.0136	0	0.3031	A
T_WT_2	0.0278	0.007	0.0154	0.0126	0.3326	A
T_WT_3	0.0195	0	0.1589	0	0.2763	A
T_WT_5	0	0	0.3047	0	0.2563	A
T_WT_8	0.0143	0	0	0	0.3977	A
T_WT_9	0.0581	0.0022	0.0441	0	0.2572	A
T_WT_10	0.0035	0.0059	0.2272	0	0.221	A
T_WT_1	0.0005	0.1711	0.1387	0.3303	0	B
T_WT_4	0.0119	0.174	0.2195	0.2851	0.1717	B
T_WT_6	0.0755	0.1602	0.3478	0.2663	0.0652	B
T_WT_7	0.0109	0.1742	0.4372	0.3181	0.0001	B
T_BRCA2_3	0.0083	0.2936	0.2933	0.4499	0	B
