TXNAME	SYMBOL
NM_001005484.1	OR4F5
NM_001005221.2	OR4F29
NM_001005277.1	OR4F16
NM_152486.3	SAMD11
NM_015658.4	NOC2L
NM_198317.3	KLHL17
NM_001367552.1	PLEKHN1
NM_001160184.2	PLEKHN1
NM_032129.3	PLEKHN1
NM_001291366.2	PERM1
NM_001291367.2	PERM1
NM_001369897.1	PERM1
NM_001369898.1	PERM1
NM_021170.4	HES4
NM_001142467.2	HES4
NM_005101.4	ISG15
NM_001305275.2	AGRN
NM_198576.4	AGRN
NM_001364727.2	AGRN
NM_001205252.2	RNF223
NM_017891.5	C1orf159
NM_001363525.2	C1orf159
NM_001330306.2	C1orf159
NM_001371649.1	TTLL10
NM_001130045.2	TTLL10
NM_153254.3	TTLL10
NM_148901.2	TNFRSF18
NM_148902.2	TNFRSF18
NM_004195.3	TNFRSF18
NM_003327.4	TNFRSF4
NM_016547.2	SDF4
NM_016176.4	SDF4
NM_080605.4	B3GALT6
NM_001014980.3	C1QTNF12
NM_194457.2	UBE2J2
NM_058167.3	UBE2J2
NM_194315.2	UBE2J2
NM_194458.1	UBE2J2
NM_001130413.4	SCNN1D
NM_030649.3	ACAP3
NM_001346116.1	PUSL1
NM_153339.3	PUSL1
NM_001256460.1	INTS11
NM_001256462.1	INTS11
NM_001256456.1	INTS11
NM_001256463.2	INTS11
NM_017871.6	INTS11
NM_001029885.2	CPTP
NM_152228.3	TAS1R3
NM_004421.3	DVL1
NM_001330311.2	DVL1
NM_001282582.1	MXRA8
NM_001282584.1	MXRA8
NM_001282585.1	MXRA8
NM_001282583.2	MXRA8
NM_032348.4	MXRA8
NM_017900.3	AURKAIP1
NM_001127230.2	AURKAIP1
NM_001127229.2	AURKAIP1
NM_030937.6	CCNL2
NM_001320155.3	CCNL2
NM_001350500.2	CCNL2
NM_001320153.3	CCNL2
NM_001350498.2	CCNL2
NM_001350499.2	CCNL2
NM_001350497.1	CCNL2
NM_001039577.4	CCNL2
NM_017971.4	MRPL20
NM_001318485.2	MRPL20
NM_001145210.2	ANKRD65
NM_001243536.2	ANKRD65
