N_BRCA1_3	44626673N_WES_1.fastq.gz	44626673N_WES_2.fastq.gz
N_BRCA1_4	44871822N_WES_1.fastq.gz	44871822N_WES_2.fastq.gz
N_WT_9	44975483N_WES_1.fastq.gz	44975483N_WES_2.fastq.gz
N_BRCA2_1	46576781N_WES_1.fastq.gz	46576781N_WES_2.fastq.gz
N_WT_4	46656803N_WES_1.fastq.gz	46656803N_WES_2.fastq.gz
N_WT_5	46751520N_WES_1.fastq.gz	46751520N_WES_2.fastq.gz
N_BRCA2_2	47228991N_WES_1.fastq.gz	47228991N_WES_2.fastq.gz
N_BRCA2_3	47335008N_WES_1.fastq.gz	47335008N_WES_2.fastq.gz
N_WT_6	47343922N_WES_1.fastq.gz	47343922N_WES_2.fastq.gz
N_WT_7	47736290N_WES_1.fastq.gz	47736290N_WES_2.fastq.gz
N_WT_10	48737607N_WES_1.fastq.gz	48737607N_WES_2.fastq.gz
N_BRCA1_1	22746243N_WES_1.fastq.gz	22746243N_WES_2.fastq.gz
N_BRCA1_2	30746819N_WES_1.fastq.gz	30746819N_WES_2.fastq.gz
N_BRCA2_5	44079392N_WES_1.fastq.gz	44079392N_WES_2.fastq.gz
N_WT_1	44387815N_WES_1.fastq.gz	44387815N_WES_2.fastq.gz
N_BRCA1_5	44478975N_WES_1.fastq.gz	44478975N_WES_2.fastq.gz
N_WT_2	44566764N_WES_1.fastq.gz	44566764N_WES_2.fastq.gz
N_BRCA2_4	44991175N_WES_1.fastq.gz	44991175N_WES_2.fastq.gz
N_WT_8	45084551N_WES_1.fastq.gz	45084551N_WES_2.fastq.gz
N_WT_3	46339292N_WES_1.fastq.gz	46339292N_WES_2.fastq.gz
T_WT_4	46656803T_WES_1.fastq.gz	46656803T_WES_2.fastq.gz
T_BRCA2_1	46576781T_WES_1.fastq.gz	46576781T_WES_2.fastq.gz
T_WT_5	46751520T_WES_1.fastq.gz	46751520T_WES_2.fastq.gz
T_BRCA2_2	47228991T_WES_1.fastq.gz	47228991T_WES_2.fastq.gz
T_BRCA2_3	47335008T_WES_1.fastq.gz	47335008T_WES_2.fastq.gz
T_WT_6	47343922T_WES_1.fastq.gz	47343922T_WES_2.fastq.gz
T_WT_7	47736290T_WES_1.fastq.gz	47736290T_WES_2.fastq.gz
T_WT_10	48737607T_WES_1.fastq.gz	48737607T_WES_2.fastq.gz
T_BRCA1_1	22746243T_WES_1.fastq.gz	22746243T_WES_2.fastq.gz
T_BRCA1_2	30746819T_WES_1.fastq.gz	30746819T_WES_2.fastq.gz
T_BRCA1_4	44871822T_WES_1.fastq.gz	44871822T_WES_2.fastq.gz
T_BRCA1_3	44626673T_WES_1.fastq.gz	44626673T_WES_2.fastq.gz
T_WT_9	44975483T_WES_1.fastq.gz	44975483T_WES_2.fastq.gz
T_BRCA2_4	44991175T_WES_1.fastq.gz	44991175T_WES_2.fastq.gz
T_WT_8	45084551T_WES_1.fastq.gz	45084551T_WES_2.fastq.gz
T_WT_3	46339292T_WES_1.fastq.gz	46339292T_WES_2.fastq.gz
T_BRCA2_5	44079392T_WES_1.fastq.gz	44079392T_WES_2.fastq.gz
T_WT_1	44387815T_WES_1.fastq.gz	44387815T_WES_2.fastq.gz
T_BRCA1_5	44478975T_WES_1.fastq.gz	44478975T_WES_2.fastq.gz
T_WT_2	44566764T_WES_1.fastq.gz	44566764T_WES_2.fastq.gz
